"tradeNum","position","entryDate","pnlPercent","equityBefore","compoundedPnl","equityAfter"
"1","long","2017-09-07 20:00","-8.64","10000","-864","9136"
"2","short","2017-09-10 12:00","-9.43","9136","-861.52","8274.48"
"3","short","2017-09-13 08:00","25.75","8274.48","2130.68","10405.16"
"4","long","2017-09-27 16:00","60.07","10405.16","6250.38","16655.54"
"5","short","2017-11-12 08:00","-10.74","16655.54","-1788.8","14866.74"
"6","long","2017-11-15 16:00","105.57","14866.74","15694.82","30561.56"
"7","short","2017-12-22 12:00","-18.46","30561.56","-5641.66","24919.9"
"8","short","2017-12-30 16:00","-12.14","24919.9","-3025.28","21894.62"
"9","long","2018-01-05 16:00","-11.22","21894.62","-2456.58","19438.04"
"10","short","2018-01-11 08:00","27.61","19438.04","5366.84","24804.88"
"11","long","2018-02-16 00:00","-1.38","24804.88","-342.31","24462.57"
"12","short","2018-02-25 20:00","-9.37","24462.57","-2292.14","22170.43"
"13","long","2018-02-27 12:00","-0.95","22170.43","-210.62","21959.81"
"14","short","2018-03-08 00:00","22.02","21959.81","4835.55","26795.36"
"15","long","2018-04-12 16:00","17.33","26795.36","4643.64","31439"
"16","long","2018-05-10 12:00","-3.13","31439","-984.04","30454.96"
"17","short","2018-05-11 12:00","10.05","30454.96","3060.72","33515.68"
"18","long","2018-07-04 20:00","-3.16","33515.68","-1059.1","32456.58"
"19","long","2018-07-08 04:00","-5.89","32456.58","-1911.69","30544.89"
"20","short","2018-07-10 20:00","-4.05","30544.89","-1237.07","29307.82"
"21","long","2018-07-16 20:00","13.56","29307.82","3974.14","33281.96"
"22","short","2018-08-03 08:00","9.96","33281.96","3314.88","36596.84"
"23","short","2018-08-23 04:00","-4.23","36596.84","-1548.05","35048.79"
"24","long","2018-08-28 04:00","-0.04","35048.79","-14.02","35034.77"
"25","short","2018-09-06 04:00","7.78","35034.77","2725.71","37760.48"
"26","long","2018-09-21 16:00","-4.16","37760.48","-1570.84","36189.64"
"27","short","2018-09-25 12:00","-4.59","36189.64","-1661.1","34528.54"
"28","long","2018-09-28 04:00","-2.91","34528.54","-1004.78","33523.76"
"29","long","2018-10-08 16:00","-1.16","33523.76","-388.88","33134.88"
"30","short","2018-10-11 08:00","-8.3","33134.88","-2750.2","30384.68"
"31","long","2018-10-15 16:00","-5.97","30384.68","-1813.97","28570.71"
"32","short","2018-10-27 20:00","2.36","28570.71","674.27","29244.98"
"33","long","2018-11-07 08:00","-1.62","29244.98","-473.77","28771.21"
"34","short","2018-11-11 16:00","-1.07","28771.21","-307.85","28463.36"
"35","short","2018-11-14 16:00","8.02","28463.36","2282.76","30746.12"
"36","long","2018-12-20 16:00","-6.78","30746.12","-2084.59","28661.53"
"37","short","2018-12-28 00:00","-5.91","28661.53","-1693.9","26967.63"
"38","long","2019-01-07 00:00","-5.73","26967.63","-1545.25","25422.38"
"39","short","2019-01-10 20:00","0.73","25422.38","185.58","25607.96"
"40","short","2019-01-20 16:00","5.87","25607.96","1503.19","27111.15"
"41","long","2019-02-09 00:00","1.95","27111.15","528.67","27639.82"
"42","short","2019-03-04 12:00","-2.99","27639.82","-826.43","26813.39"
"43","long","2019-03-06 00:00","1.62","26813.39","434.38","27247.77"
"44","long","2019-03-27 08:00","97.62","27247.77","26599.27","53847.04"
"45","short","2019-06-05 00:00","-4.81","53847.04","-2590.04","51257"
"46","short","2019-06-10 04:00","-4.26","51257","-2183.55","49073.45"
"47","long","2019-06-13 20:00","27.1","49073.45","13298.9","62372.35"
"48","long","2019-07-03 20:00","-2.16","62372.35","-1347.24","61025.11"
"49","short","2019-07-14 20:00","-4.76","61025.11","-2904.8","58120.31"
"50","short","2019-07-22 20:00","-0.54","58120.31","-313.85","57806.46"
"51","long","2019-08-02 12:00","3.88","57806.46","2242.89","60049.35"
"52","short","2019-08-14 08:00","-2.53","60049.35","-1519.25","58530.1"
"53","short","2019-08-21 08:00","1.45","58530.1","848.69","59378.79"
"54","long","2019-09-03 08:00","-2.39","59378.79","-1419.15","57959.64"
"55","short","2019-09-11 00:00","-3.09","57959.64","-1790.95","56168.69"
"56","short","2019-09-16 20:00","-1.35","56168.69","-758.28","55410.41"
"57","short","2019-09-22 00:00","16.36","55410.41","9065.14","64475.55"
"58","short","2019-10-11 16:00","10.4","64475.55","6705.46","71181.01"
"59","long","2019-10-26 00:00","2.06","71181.01","1466.33","72647.34"
"60","short","2019-11-10 00:00","-3.42","72647.34","-2484.54","70162.8"
"61","short","2019-11-11 16:00","6.47","70162.8","4539.53","74702.33"
"62","long","2019-12-23 00:00","-2.05","74702.33","-1531.4","73170.93"
"63","long","2019-12-29 20:00","-1.88","73170.93","-1375.61","71795.32"
"64","short","2020-01-02 08:00","-3.06","71795.32","-2196.94","69598.38"
"65","long","2020-01-05 08:00","10.88","69598.38","7572.3","77170.68"
"66","long","2020-01-27 00:00","12.03","77170.68","9283.63","86454.31"
"67","long","2020-02-19 00:00","-4.57","86454.31","-3950.96","82503.35"
"68","long","2020-02-24 04:00","-2.44","82503.35","-2013.08","80490.27"
"69","short","2020-02-25 20:00","9.2","80490.27","7405.1","87895.37"
"70","short","2020-03-28 04:00","-4.56","87895.37","-4008.03","83887.34"
"71","long","2020-04-02 20:00","-0.67","83887.34","-562.05","83325.29"
"72","long","2020-04-13 00:00","-6.23","83325.29","-5191.17","78134.12"
"73","short","2020-04-16 04:00","-4.2","78134.12","-3281.63","74852.49"
"74","long","2020-04-17 04:00","-4.78","74852.49","-3577.95","71274.54"
"75","long","2020-04-22 20:00","19.43","71274.54","13848.64","85123.18"
"76","long","2020-05-13 16:00","0.44","85123.18","374.54","85497.72"
"77","short","2020-05-25 04:00","-5.04","85497.72","-4309.09","81188.63"
"78","long","2020-05-28 20:00","0.12","81188.63","97.43","81286.06"
"79","short","2020-06-12 00:00","-3.13","81286.06","-2544.25","78741.81"
