"tradeNum","position","entryDate","pnlPercent","equityBefore","compoundedPnl","equityAfter"
"1","short","2017-09-08 20:00","26.71","10000","2671","12671"
"2","short","2017-09-21 20:00","-7.18","12671","-909.78","11761.22"
"3","long","2017-09-27 20:00","-6.35","11761.22","-746.84","11014.38"
"4","long","2017-09-30 20:00","-4.4","11014.38","-484.63","10529.75"
"5","long","2017-10-06 20:00","-4.54","10529.75","-478.05","10051.7"
"6","long","2017-10-13 12:00","-6.95","10051.7","-698.59","9353.11"
"7","short","2017-10-21 16:00","-4.4","9353.11","-411.54","8941.57"
"8","short","2017-10-28 08:00","-4.12","8941.57","-368.39","8573.18"
"9","short","2017-11-02 04:00","-6.05","8573.18","-518.68","8054.5"
"10","long","2017-11-09 00:00","-4.28","8054.5","-344.73","7709.77"
"11","long","2017-11-14 12:00","20.27","7709.77","1562.77","9272.54"
"12","long","2017-12-01 20:00","-6.05","9272.54","-560.99","8711.55"
"13","long","2017-12-09 08:00","-10.54","8711.55","-918.2","7793.35"
"14","long","2017-12-11 20:00","30.77","7793.35","2398.01","10191.36"
"15","long","2017-12-26 08:00","37.09","10191.36","3779.98","13971.34"
"16","short","2018-01-17 16:00","-24.52","13971.34","-3425.77","10545.57"
"17","short","2018-01-23 16:00","-13.88","10545.57","-1463.73","9081.84"
"18","long","2018-01-28 04:00","-3.67","9081.84","-333.3","8748.54"
"19","short","2018-02-02 08:00","33.95","8748.54","2970.13","11718.67"
"20","long","2018-02-17 08:00","-4.84","11718.67","-567.18","11151.49"
"21","short","2018-02-21 04:00","-0.99","11151.49","-110.4","11041.09"
"22","short","2018-03-02 20:00","7.95","11041.09","877.77","11918.86"
"23","long","2018-04-12 20:00","48.94","11918.86","5833.09","17751.95"
"24","short","2018-05-12 12:00","-6.44","17751.95","-1143.23","16608.72"
"25","long","2018-05-15 12:00","-7.78","16608.72","-1292.16","15316.56"
"26","short","2018-05-23 00:00","15.83","15316.56","2424.61","17741.17"
"27","short","2018-06-04 20:00","-4.33","17741.17","-768.19","16972.98"
"28","short","2018-06-10 04:00","11.5","16972.98","1951.89","18924.87"
"29","long","2018-07-09 00:00","-3.02","18924.87","-571.53","18353.34"
"30","short","2018-07-10 08:00","-3.29","18353.34","-603.82","17749.52"
"31","long","2018-07-17 00:00","-3.89","17749.52","-690.46","17059.06"
"32","short","2018-07-21 00:00","-4.7","17059.06","-801.78","16257.28"
"33","short","2018-07-30 20:00","8.38","16257.28","1362.36","17619.64"
"34","short","2018-09-03 16:00","10.08","17619.64","1776.06","19395.7"
"35","long","2018-09-22 00:00","-7.78","19395.7","-1508.99","17886.71"
"36","short","2018-09-25 12:00","-9.49","17886.71","-1697.45","16189.26"
"37","short","2018-10-03 08:00","-4.51","16189.26","-730.14","15459.12"
"38","short","2018-10-11 08:00","2.44","15459.12","377.2","15836.32"
"39","short","2018-10-19 00:00","4.74","15836.32","750.64","16586.96"
"40","long","2018-11-05 00:00","-1.89","16586.96","-313.49","16273.47"
"41","short","2018-11-14 16:00","14.63","16273.47","2380.81","18654.28"
"42","long","2018-12-20 20:00","25.65","18654.28","4784.82","23439.1"
"43","short","2019-01-10 20:00","12.46","23439.1","2920.51","26359.61"
"44","long","2019-02-09 00:00","10.24","26359.61","2699.22","29058.83"
"45","short","2019-03-04 08:00","-4.13","29058.83","-1200.13","27858.7"
"46","long","2019-03-06 16:00","-3.8","27858.7","-1058.63","26800.07"
"47","long","2019-03-15 20:00","-1.79","26800.07","-479.72","26320.35"
"48","short","2019-03-26 00:00","-3.03","26320.35","-797.51","25522.84"
"49","long","2019-03-27 16:00","14.02","25522.84","3578.3","29101.14"
"50","long","2019-04-17 04:00","-1.34","29101.14","-389.96","28711.18"
"51","short","2019-04-26 04:00","-4.85","28711.18","-1392.49","27318.69"
"52","long","2019-05-03 16:00","-3.32","27318.69","-906.98","26411.71"
"53","long","2019-05-06 20:00","42.82","26411.71","11309.49","37721.2"
"54","short","2019-06-09 20:00","-4.65","37721.2","-1754.04","35967.16"
"55","long","2019-06-13 00:00","11.63","35967.16","4182.98","40150.14"
"56","long","2019-07-08 00:00","-6","40150.14","-2409.01","37741.13"
"57","short","2019-07-11 12:00","11.03","37741.13","4162.85","41903.98"
"58","long","2019-08-05 16:00","-3.47","41903.98","-1454.07","40449.91"
"59","short","2019-08-09 00:00","14.48","40449.91","5857.15","46307.06"
"60","long","2019-09-14 20:00","4.03","46307.06","1866.17","48173.23"
"61","short","2019-09-25 00:00","-9.38","48173.23","-4518.65","43654.58"
"62","long","2019-10-09 20:00","-5.31","43654.58","-2318.06","41336.52"
