"tradeNum","position","entryDate","pnlPercent","equityBefore","compoundedPnl","equityAfter"
"1","long","2020-08-31 08:00","-19.21","10000","-1921","8079"
"2","short","2020-09-05 16:00","-39.62","8079","-3200.9","4878.1"
"3","short","2020-09-16 04:00","-7.95","4878.1","-387.81","4490.29"
"4","short","2020-09-30 00:00","14.78","4490.29","663.66","5153.95"
"5","long","2020-11-07 04:00","-1.68","5153.95","-86.59","5067.36"
"6","long","2020-11-15 12:00","-7.71","5067.36","-390.69","4676.67"
"7","short","2020-11-26 12:00","-15.95","4676.67","-745.93","3930.74"
"8","long","2020-12-03 12:00","-7.89","3930.74","-310.14","3620.6"
"9","short","2020-12-05 04:00","16.12","3620.6","583.64","4204.24"
"10","short","2020-12-18 20:00","19.41","4204.24","816.04","5020.28"
"11","long","2021-01-02 00:00","72.66","5020.28","3647.74","8668.02"
"12","long","2021-01-23 08:00","252.86","8668.02","21917.96","30585.98"
"13","long","2021-03-07 16:00","-1.05","30585.98","-321.15","30264.83"
"14","long","2021-03-19 00:00","-4.15","30264.83","-1255.99","29008.84"
"15","long","2021-03-22 04:00","-5.26","29008.84","-1525.86","27482.98"
"16","short","2021-03-25 16:00","-6.96","27482.98","-1912.82","25570.16"
"17","long","2021-03-27 12:00","37.23","25570.16","9519.77","35089.93"
"18","long","2021-04-18 12:00","48.16","35089.93","16899.31","51989.24"
"19","long","2021-05-12 04:00","-6.74","51989.24","-3504.07","48485.17"
"20","long","2021-05-16 08:00","-7.74","48485.17","-3752.75","44732.42"
"21","short","2021-05-22 12:00","-1.18","44732.42","-527.84","44204.58"
"22","long","2021-06-03 20:00","-4.49","44204.58","-1984.79","42219.79"
"23","long","2021-06-09 00:00","-8.23","42219.79","-3474.69","38745.1"
"24","long","2021-06-15 08:00","-5.84","38745.1","-2262.71","36482.39"
"25","short","2021-06-18 20:00","37.9","36482.39","13826.83","50309.22"
"26","long","2021-07-07 16:00","-10.4","50309.22","-5232.16","45077.06"
"27","short","2021-07-11 04:00","18.74","45077.06","8447.44","53524.5"
"28","long","2021-07-30 00:00","356.92","53524.5","191039.65","244564.15"
