交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2020-11-04 08:00,平空-止盈,28.31,355.618,9999.97816,-77.6,-0.78,187.03,1.87,-118.8,-1.19,-77.6,-0.78
1,空头进场,2020-11-04 04:00,开空,28.12,355.618,9999.97816,-77.6,-0.78,187.03,1.87,-118.8,-1.19,-77.6,-0.78
2,多头出场,2020-11-26 04:00,平多,61.72,258.732,9999.9918,5955.96,59.53,11335.22,113.30,-85.21,-0.85,5878.36,58.78
2,多头进场,2020-11-07 04:00,开多,38.65,258.732,9999.9918,5955.96,59.53,11335.22,113.30,-85.21,-0.85,5878.36,58.78
3,空头出场,2020-11-27 04:00,平空-EMA,64.21,189.071,9999.96519,-2151.35,-21.50,503.6,5.03,-2336.25,-23.35,3727.01,37.27
3,空头进场,2020-11-26 08:00,开空,52.89,189.071,9999.96519,-2151.35,-21.50,503.6,5.03,-2336.25,-23.35,3727.01,37.27
4,多头出场,2020-12-11 04:00,平多,76.32,145.158,9999.93462,1067.98,10.67,3785.08,37.83,-5,-0.05,4794.99,47.95
4,多头进场,2020-11-30 04:00,开多,68.89,145.158,9999.93462,1067.98,10.67,3785.08,37.83,-5,-0.05,4794.99,47.95
5,多头出场,2020-12-21 16:00,平多,78.86,118.778,9999.91982,-642.77,-6.42,1436.97,14.36,-803.19,-8.03,4152.22,41.52
5,多头进场,2020-12-13 16:00,开多,84.19,118.778,9999.91982,-642.77,-6.42,1436.97,14.36,-803.19,-8.03,4152.22,41.52
6,空头出场,2020-12-27 20:00,平空-EMA,80.75,134.228,9999.986,-849.34,-8.49,243.32,2.43,-864.06,-8.64,3302.88,33.03
6,空头进场,2020-12-26 20:00,开空,74.5,134.228,9999.986,-849.34,-8.49,243.32,2.43,-864.06,-8.64,3302.88,33.03
7,多头出场,2021-02-17 08:00,平多,407.94,115.74,9999.936,37186.43,371.68,57317.55,572.89,-596.43,-5.96,40489.31,404.89
7,多头进场,2021-01-01 00:00,开多,86.4,115.74,9999.936,37186.43,371.68,57317.55,572.89,-596.43,-5.96,40489.31,404.89
8,多头出场,2021-02-20 00:00,平多,421.15,21.53,9999.6085,-941.78,-9.41,90.38,0.90,-1066.86,-10.66,39547.53,395.48
8,多头进场,2021-02-18 16:00,开多,464.45,21.53,9999.6085,-941.78,-9.41,90.38,0.90,-1066.86,-10.66,39547.53,395.48
9,多头出场,2021-02-22 16:00,平多,410.98,20.946,9999.6204,-1400.54,-14.00,426.49,4.26,-1457.4,-14.57,38146.99,381.47
9,多头进场,2021-02-20 16:00,开多,477.4,20.946,9999.6204,-1400.54,-14.00,426.49,4.26,-1457.4,-14.57,38146.99,381.47
10,空头出场,2021-03-02 16:00,平空-EMA,391.19,27.41,9999.9903,-732.89,-7.33,2193.28,21.92,-1133.47,-11.33,37414.1,374.14
10,空头进场,2021-02-23 08:00,开空,364.83,27.41,9999.9903,-732.89,-7.33,2193.28,21.92,-1133.47,-11.33,37414.1,374.14
11,空头出场,2021-03-07 04:00,平空-EMA,387.93,28.257,9999.86973,-972.35,-9.72,387.77,3.88,-1058.7,-10.58,36441.75,364.42
11,空头进场,2021-03-05 08:00,开空,353.89,28.257,9999.86973,-972.35,-9.72,387.77,3.88,-1058.7,-10.58,36441.75,364.42
12,多头出场,2021-03-12 12:00,平多,391.47,24.12,9999.6696,-567.13,-5.67,1066.41,10.66,-671.68,-6.71,35874.62,358.75
12,多头进场,2021-03-07 16:00,开多,414.58,24.12,9999.6696,-567.13,-5.67,1066.41,10.66,-671.68,-6.71,35874.62,358.75
13,空头出场,2021-03-13 16:00,平空-EMA,395.58,27.11,9999.7946,-734.74,-7.34,244.14,2.44,-794.99,-7.95,35139.88,351.40
13,空头进场,2021-03-13 00:00,开空,368.86,27.11,9999.7946,-734.74,-7.34,244.14,2.44,-794.99,-7.95,35139.88,351.40
14,空头出场,2021-03-20 20:00,平空-EMA,393,27.283,9999.76516,-732.81,-7.32,440.53,4.40,-741.91,-7.42,34407.06,344.07
14,空头进场,2021-03-15 20:00,开空,366.52,27.283,9999.76516,-732.81,-7.32,440.53,4.40,-741.91,-7.42,34407.06,344.07
15,空头出场,2021-03-25 04:00,平空-止盈,308.02,27.255,9999.8595,1595.58,15.95,1921.11,19.20,-190.88,-1.91,36002.64,360.03
15,空头进场,2021-03-21 12:00,开空,366.9,27.255,9999.8595,1595.58,15.95,1921.11,19.20,-190.88,-1.91,36002.64,360.03
16,多头出场,2021-04-07 12:00,平多,363.02,26.308,9999.6708,-459.12,-4.59,1189.38,11.89,-602.19,-6.02,35543.52,355.44
16,多头进场,2021-03-31 00:00,开多,380.1,26.308,9999.6708,-459.12,-4.59,1189.38,11.89,-602.19,-6.02,35543.52,355.44
17,空头出场,2021-04-12 12:00,平空-EMA,375.73,28.742,9999.91664,-809.71,-8.09,197.92,1.98,-882.78,-8.82,34733.81,347.34
17,空头进场,2021-04-07 16:00,开空,347.92,28.742,9999.91664,-809.71,-8.09,197.92,1.98,-882.78,-8.82,34733.81,347.34
18,多头出场,2021-04-18 08:00,平多,333.7,24.685,9999.64665,-1771.38,-17.71,2066.32,20.65,-3074.83,-30.73,32962.43,329.62
18,多头进场,2021-04-13 00:00,开多,405.09,24.685,9999.64665,-1771.38,-17.71,2066.32,20.65,-3074.83,-30.73,32962.43,329.62
19,空头出场,2021-04-22 16:00,平空-EMA,396.84,29.084,9999.95172,-1552.51,-15.52,1006.54,10.06,-1816.64,-18.16,31409.91,314.10
19,空头进场,2021-04-19 20:00,开空,343.83,29.084,9999.95172,-1552.51,-15.52,1006.54,10.06,-1816.64,-18.16,31409.91,314.10
20,空头出场,2021-04-26 08:00,平空-EMA,380.32,31.853,9999.93082,-2125.46,-21.24,129.74,1.30,-2214.96,-22.14,29284.46,292.84
20,空头进场,2021-04-23 12:00,开空,313.94,31.853,9999.93082,-2125.46,-21.24,129.74,1.30,-2214.96,-22.14,29284.46,292.84
21,多头出场,2021-05-11 00:00,平多,437.96,24.326,9999.68882,643.8,6.43,3009.72,30.08,-79.68,-0.80,29928.25,299.28
21,多头进场,2021-04-27 12:00,开多,411.07,24.326,9999.68882,643.8,6.43,3009.72,30.08,-79.68,-0.80,29928.25,299.28
22,多头出场,2021-05-19 20:00,平多,497.81,19.603,9999.4903,-250.8,-2.51,3090.31,30.89,-3143.44,-31.42,29677.46,296.77
22,多头进场,2021-05-12 08:00,开多,510.1,19.603,9999.4903,-250.8,-2.51,3090.31,30.89,-3143.44,-31.42,29677.46,296.77
23,空头出场,2021-06-02 20:00,平空-EMA,398.97,26.799,9999.77886,-702.56,-7.02,4418.18,44.16,-1207.2,-12.07,28974.89,289.75
23,空头进场,2021-05-21 20:00,开空,373.14,26.799,9999.77886,-702.56,-7.02,4418.18,44.16,-1207.2,-12.07,28974.89,289.75
24,空头出场,2021-06-12 00:00,平空-止盈,288.44,27.924,9999.86364,1936.44,19.35,1943.26,19.42,-942.97,-9.43,30911.33,309.11
24,空头进场,2021-06-04 12:00,开空,358.11,27.924,9999.86364,1936.44,19.35,1943.26,19.42,-942.97,-9.43,30911.33,309.11
25,多头出场,2021-07-14 00:00,平多,273.32,36.471,9999.98349,-41.71,-0.42,2669.78,26.68,-507.21,-5.07,30869.62,308.70
25,多头进场,2021-07-04 12:00,开多,274.19,36.471,9999.98349,-41.71,-0.42,2669.78,26.68,-507.21,-5.07,30869.62,308.70
26,空头出场,2021-07-15 04:00,平空-EMA,279.29,38.501,9999.86473,-763.46,-7.63,298.39,2.98,-1000.64,-10.00,30106.16,301.06
26,空头进场,2021-07-14 08:00,开空,259.73,38.501,9999.86473,-763.46,-7.63,298.39,2.98,-1000.64,-10.00,30106.16,301.06
27,空头出场,2021-07-20 08:00,平空-止盈,219.4,39.142,9999.99816,1402.95,14.02,1418.59,14.18,-617.96,-6.18,31509.11,315.09
27,空头进场,2021-07-16 16:00,开空,255.48,39.142,9999.99816,1402.95,14.02,1418.59,14.18,-617.96,-6.18,31509.11,315.09
28,多头出场,2021-08-24 20:00,平多,380.87,34.684,9999.74404,3198.75,31.97,5548.95,55.46,-709.43,-7.09,34707.86,347.08
28,多头进场,2021-07-23 08:00,开多,288.31,34.684,9999.74404,3198.75,31.97,5548.95,55.46,-709.43,-7.09,34707.86,347.08
29,空头出场,2021-08-31 16:00,平空-EMA,380,27.901,9999.7184,-612.96,-6.13,483.27,4.83,-627.19,-6.27,34094.89,340.95
29,空头进场,2021-08-26 12:00,开空,358.4,27.901,9999.7184,-612.96,-6.13,483.27,4.83,-627.19,-6.27,34094.89,340.95
30,多头出场,2021-09-07 16:00,平多,379.1,24.931,9999.8241,-558.21,-5.58,608.3,6.08,-740.46,-7.40,33536.68,335.37
30,多头进场,2021-09-01 08:00,开多,401.1,24.931,9999.8241,-558.21,-5.58,608.3,6.08,-740.46,-7.40,33536.68,335.37
31,空头出场,2021-09-14 20:00,平空-EMA,376.6,29.806,9999.913,-1235.64,-12.35,960.71,9.60,-1238.97,-12.38,32301.05,323.01
