交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,多头出场,2019-05-22 16:00,平多,4.429,2060.156,9999.997224,-885.13,-8.85,648.07,6.48,-977.39,-9.77,-885.13,-8.85
1,多头进场,2019-05-19 16:00,开多,4.854,2060.156,9999.997224,-885.13,-8.85,648.07,6.48,-977.39,-9.77,-885.13,-8.85
2,多头出场,2019-06-27 04:00,平多,6.35,2126.302,9999.998306,3490.27,34.89,5408.57,54.06,-436.64,-4.36,2605.14,26.05
2,多头进场,2019-05-29 00:00,开多,4.703,2126.302,9999.998306,3490.27,34.89,5408.57,54.06,-436.64,-4.36,2605.14,26.05
3,空头出场,2019-07-09 08:00,平空-止盈,5.091,1690.331,9999.998196,1385.22,13.85,1475.73,14.75,-481.67,-4.81,3990.36,39.90
3,空头进场,2019-06-27 12:00,开空,5.916,1690.331,9999.998196,1385.22,13.85,1475.73,14.75,-481.67,-4.81,3990.36,39.90
4,多头出场,2019-09-11 20:00,平多,2.425,3835.826,9999.998382,-707.77,-7.07,1349.05,13.48,-714.63,-7.14,3282.59,32.83
4,多头进场,2019-09-08 16:00,开多,2.607,3835.826,9999.998382,-707.77,-7.07,1349.05,13.48,-714.63,-7.14,3282.59,32.83
5,多头出场,2019-09-22 08:00,平多,2.868,3290.556,9999.999684,-572.4,-5.72,1725.83,17.25,-955.97,-9.55,2710.19,27.10
5,多头进场,2019-09-12 20:00,开多,3.039,3290.556,9999.999684,-572.4,-5.72,1725.83,17.25,-955.97,-9.55,2710.19,27.10
6,空头出场,2019-10-01 04:00,平空-EMA,2.653,3668.378,9999.998428,257.93,2.58,2915.03,29.14,-34.35,-0.34,2968.11,29.68
6,空头进场,2019-09-24 00:00,开空,2.726,3668.378,9999.998428,257.93,2.58,2915.03,29.14,-34.35,-0.34,2968.11,29.68
7,多头出场,2019-10-16 20:00,平多,2.777,3665.689,9999.999592,169.53,1.69,1574.91,15.74,-719.81,-7.19,3137.64,31.38
7,多头进场,2019-10-06 00:00,开多,2.728,3665.689,9999.999592,169.53,1.69,1574.91,15.74,-719.81,-7.19,3137.64,31.38
8,多头出场,2019-10-18 12:00,平多,2.787,3410.641,9999.999412,-504.3,-5.04,49.57,0.50,-502.95,-5.03,2633.34,26.33
8,多头进场,2019-10-18 00:00,开多,2.932,3410.641,9999.999412,-504.3,-5.04,49.57,0.50,-502.95,-5.03,2633.34,26.33
9,多头出场,2019-10-23 08:00,平多,2.805,3445.899,9999.998898,-344.09,-3.44,380.94,3.81,-432.29,-4.32,2289.26,22.89
