交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,多头出场,2017-11-30 00:00,平多,1.71,5347.593,9999.99891,-865.19,-8.65,957.57,9.57,-1716.23,-17.15,-865.19,-8.65
1,多头进场,2017-11-26 04:00,开多,1.87,5347.593,9999.99891,-865.19,-8.65,957.57,9.57,-1716.23,-17.15,-865.19,-8.65
2,多头出场,2017-12-10 08:00,平多,2.16,5000,10000,789.6,7.89,4195,41.93,-1455,-14.54,-75.59,-0.76
2,多头进场,2017-11-30 08:00,开多,2,5000,10000,789.6,7.89,4195,41.93,-1455,-14.54,-75.59,-0.76
3,多头出场,2018-01-16 20:00,平多,15.14,3875.968,9999.99744,48647.82,486.24,87591.88,875.48,-1206.55,-12.06,48572.23,485.72
3,多头进场,2017-12-11 12:00,开多,2.58,3875.968,9999.99744,48647.82,486.24,87591.88,875.48,-1206.55,-12.06,48572.23,485.72
4,空头出场,2018-01-18 20:00,平空-EMA,15.06,1009.081,9999.99271,-5209.37,-52.07,5.09,0.05,-6049.39,-60.46,43362.86,433.63
4,空头进场,2018-01-17 20:00,开空,9.91,1009.081,9999.99271,-5209.37,-52.07,5.09,0.05,-6049.39,-60.46,43362.86,433.63
5,空头出场,2018-02-01 16:00,平空-止盈,9.9,829.875,9999.99375,1775.12,17.74,1970.1,19.69,-1872.22,-18.71,45137.99,451.38
5,空头进场,2018-01-22 20:00,开空,12.05,829.875,9999.99375,1775.12,17.74,1970.1,19.69,-1872.22,-18.71,45137.99,451.38
6,多头出场,2018-02-21 04:00,平多,9.89,916.59,9999.9969,-944.45,-9.44,856.59,8.56,-1132.41,-11.32,44193.54,441.94
6,多头进场,2018-02-15 12:00,开多,10.91,916.59,9999.9969,-944.45,-9.44,856.59,8.56,-1132.41,-11.32,44193.54,441.94
7,空头出场,2018-02-26 20:00,平空-EMA,10.02,1020.408,9999.9984,-234.6,-2.34,1219.49,12.19,-311.12,-3.11,43958.93,439.59
