交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2020-09-09 00:00,平空-止盈,1.828,3427.004,9999.997672,3727.3,37.25,4854.49,48.52,-1293.55,-12.93,3727.3,37.27
1,空头进场,2020-09-04 08:00,开空,2.918,3427.004,9999.997672,3727.3,37.25,4854.49,48.52,-1293.55,-12.93,3727.3,37.27
2,多头出场,2020-10-28 20:00,平多,0.515,15220.7,9999.9999,-2170.26,-21.69,116.77,1.17,-2288.1,-22.87,1557.04,15.57
2,多头进场,2020-10-28 04:00,开多,0.657,15220.7,9999.9999,-2170.26,-21.69,116.77,1.17,-2288.1,-22.87,1557.04,15.57
3,空头出场,2020-11-03 08:00,平空-止盈,0.346,22831.05,9999.9999,2091.51,20.90,2209.61,22.09,-689.93,-6.90,3648.55,36.49
3,空头进场,2020-10-29 16:00,开空,0.438,22831.05,9999.9999,2091.51,20.90,2209.61,22.09,-689.93,-6.90,3648.55,36.49
4,多头出场,2020-11-08 00:00,平多,0.412,18867.924,9999.99972,-2235.3,-22.34,145.94,1.46,-2552.17,-25.51,1413.25,14.13
4,多头进场,2020-11-07 16:00,开多,0.53,18867.924,9999.99972,-2235.3,-22.34,145.94,1.46,-2552.17,-25.51,1413.25,14.13
5,多头出场,2020-11-25 08:00,平多,0.67,18656.716,9999.999776,2488.75,24.88,7849.48,78.46,-452.76,-4.53,3902,39.02
5,多头进场,2020-11-11 00:00,开多,0.536,18656.716,9999.999776,2488.75,24.88,7849.48,78.46,-452.76,-4.53,3902,39.02
6,空头出场,2020-11-29 20:00,平空-EMA,0.673,18450.184,9999.999728,-2428.18,-24.27,1046.66,10.46,-2606.48,-26.05,1473.82,14.74
6,空头进场,2020-11-26 08:00,开空,0.542,18450.184,9999.999728,-2428.18,-24.27,1046.66,10.46,-2606.48,-26.05,1473.82,14.74
7,多头出场,2020-12-05 04:00,平多,0.685,13458.95,9999.99985,-790.23,-7.90,1542.78,15.42,-1552.78,-15.52,683.59,6.84
7,多头进场,2020-12-01 12:00,开多,0.743,13458.95,9999.99985,-790.23,-7.90,1542.78,15.42,-1552.78,-15.52,683.59,6.84
8,空头出场,2020-12-15 08:00,平空-EMA,0.669,15552.099,9999.999657,-414.56,-4.14,1674.63,16.74,-456.01,-4.56,269.03,2.69
8,空头进场,2020-12-09 00:00,开空,0.643,15552.099,9999.999657,-414.56,-4.14,1674.63,16.74,-456.01,-4.56,269.03,2.69
9,空头出场,2020-12-17 04:00,平空-EMA,0.651,16420.361,9999.999849,-700,-7.00,224.89,2.25,-727.5,-7.27,-430.97,-4.31
9,空头进场,2020-12-16 08:00,开空,0.609,16420.361,9999.999849,-700,-7.00,224.89,2.25,-727.5,-7.27,-430.97,-4.31
10,空头出场,2020-12-24 04:00,平空-止盈,0.42,18083.182,9999.999646,2396.27,23.95,3032.97,30.31,-330.5,-3.30,1965.3,19.65
10,空头进场,2020-12-21 16:00,开空,0.553,18083.182,9999.999646,2396.27,23.95,3032.97,30.31,-330.5,-3.30,1965.3,19.65
11,多头出场,2021-01-11 16:00,平多,0.633,15948.963,9999.999801,85.65,0.86,3424.03,34.22,-1009.78,-10.09,2050.94,20.51
11,多头进场,2021-01-01 04:00,开多,0.627,15948.963,9999.999801,85.65,0.86,3424.03,34.22,-1009.78,-10.09,2050.94,20.51
12,多头出场,2021-02-15 08:00,平多,2.636,13850.415,9999.99963,26486.44,264.73,40770.62,407.50,-282.01,-2.82,28537.38,285.37
12,多头进场,2021-01-14 16:00,开多,0.722,13850.415,9999.99963,26486.44,264.73,40770.62,407.50,-282.01,-2.82,28537.38,285.37
13,多头出场,2021-02-22 08:00,平多,2.756,3276.539,9999.997028,-979.37,-9.79,706.01,7.06,-1158.34,-11.58,27558.01,275.58
13,多头进场,2021-02-20 16:00,开多,3.052,3276.539,9999.997028,-979.37,-9.79,706.01,7.06,-1158.34,-11.58,27558.01,275.58
14,空头出场,2021-03-02 20:00,平空-EMA,2.432,4295.532,9999.998496,-456.96,-4.57,3036.24,30.35,-486.1,-4.86,27101.05,271.01
14,空头进场,2021-02-23 08:00,开空,2.328,4295.532,9999.998496,-456.96,-4.57,3036.24,30.35,-486.1,-4.86,27101.05,271.01
15,空头出场,2021-03-08 20:00,平空-EMA,2.309,4807.692,9999.99936,-1111.51,-11.11,812.31,8.12,-1505,-15.04,25989.54,259.90
15,空头进场,2021-03-05 00:00,开空,2.08,4807.692,9999.99936,-1111.51,-11.11,812.31,8.12,-1505,-15.04,25989.54,259.90
16,空头出场,2021-03-14 00:00,平空-EMA,2.363,4823.926,9999.998598,-1409.64,-14.09,458.1,4.58,-1495.59,-14.95,24579.9,245.80
16,空头进场,2021-03-12 20:00,开空,2.073,4823.926,9999.998598,-1409.64,-14.09,458.1,4.58,-1495.59,-14.95,24579.9,245.80
17,多头出场,2021-03-23 04:00,平多,2.352,3984.063,9999.99813,-639.17,-6.39,1839.62,18.39,-933.29,-9.33,23940.73,239.41
17,多头进场,2021-03-16 20:00,开多,2.51,3984.063,9999.99813,-639.17,-6.39,1839.62,18.39,-933.29,-9.33,23940.73,239.41
18,多头出场,2021-03-25 08:00,平多,2.465,3340.013,9999.998922,-1775.98,-17.75,642.96,6.43,-2256.17,-22.55,22164.75,221.65
18,多头进场,2021-03-24 00:00,开多,2.994,3340.013,9999.998922,-1775.98,-17.75,642.96,6.43,-2256.17,-22.55,22164.75,221.65
19,多头出场,2021-04-07 16:00,平多,2.935,3568.879,9999.998958,464.42,4.64,2760.88,27.60,-661.67,-6.61,22629.18,226.29
19,多头进场,2021-03-27 08:00,开多,2.802,3568.879,9999.998958,464.42,4.64,2760.88,27.60,-661.67,-6.61,22629.18,226.29
20,多头出场,2021-04-12 20:00,平多,2.967,3132.832,9999.999744,-714.53,-7.14,57.66,0.58,-819.54,-8.19,21914.64,219.15
20,多头进场,2021-04-11 20:00,开多,3.192,3132.832,9999.999744,-714.53,-7.14,57.66,0.58,-819.54,-8.19,21914.64,219.15
21,多头出场,2021-04-18 08:00,平多,3.084,3091.19,9999.99965,-476.54,-4.76,4369.03,43.67,-2586.14,-25.85,21438.1,214.38
21,多头进场,2021-04-14 08:00,开多,3.235,3091.19,9999.99965,-476.54,-4.76,4369.03,43.67,-2586.14,-25.85,21438.1,214.38
22,空头出场,2021-04-22 20:00,平空-EMA,3.201,3703.703,9999.9981,-1866.48,-18.66,476.48,4.76,-2264.26,-22.63,19571.62,195.72
22,空头进场,2021-04-20 08:00,开空,2.7,3703.703,9999.9981,-1866.48,-18.66,476.48,4.76,-2264.26,-22.63,19571.62,195.72
23,空头出场,2021-04-27 16:00,平空-EMA,2.997,3900.156,9999.999984,-1699.61,-16.99,1434.16,14.33,-1853.67,-18.53,17872.01,178.72
23,空头进场,2021-04-23 08:00,开空,2.564,3900.156,9999.999984,-1699.61,-16.99,1434.16,14.33,-1853.67,-18.53,17872.01,178.72
24,多头出场,2021-05-04 08:00,平多,3.032,2988.643,9999.999478,-947.96,-9.47,425.36,4.25,-1194.48,-11.94,16924.04,169.24
24,多头进场,2021-05-01 00:00,开多,3.346,2988.643,9999.999478,-947.96,-9.47,425.36,4.25,-1194.48,-11.94,16924.04,169.24
25,多头出场,2021-05-11 00:00,平多,3.067,2983.293,9999.998136,-859.81,-8.59,1835.69,18.35,-1055.12,-10.55,16064.23,160.64
25,多头进场,2021-05-06 16:00,开多,3.352,2983.293,9999.998136,-859.81,-8.59,1835.69,18.35,-1055.12,-10.55,16064.23,160.64
26,多头出场,2021-05-14 00:00,平多,3.241,2780.867,9999.997732,-996.71,-9.96,1852.62,18.52,-1662.4,-16.62,15067.52,150.68
26,多头进场,2021-05-12 12:00,开多,3.596,2780.867,9999.997732,-996.71,-9.96,1852.62,18.52,-1662.4,-16.62,15067.52,150.68
27,多头出场,2021-05-16 00:00,平多,3.306,2638.522,9999.99838,-1286.41,-12.86,219.27,2.19,-1638.25,-16.37,13781.11,137.81
27,多头进场,2021-05-15 08:00,开多,3.79,2638.522,9999.99838,-1286.41,-12.86,219.27,2.19,-1638.25,-16.37,13781.11,137.81
