交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2019-07-27 20:00,平空-止盈,0.00278,3412969.283,9999.999999,502.2,5.02,575.2,5.75,-107.39,-1.07,502.2,5.02
1,空头进场,2019-07-25 16:00,开空,0.00293,3412969.283,9999.999999,502.2,5.02,575.2,5.75,-107.39,-1.07,502.2,5.02
2,多头出场,2019-08-06 16:00,平多,0.00297,3257328.99,9999.999999,-335.57,-3.35,418.45,4.18,-363.31,-3.63,166.63,1.67
2,多头进场,2019-08-05 16:00,开多,0.00307,3257328.99,9999.999999,-335.57,-3.35,418.45,4.18,-363.31,-3.63,166.63,1.67
3,空头出场,2019-08-16 12:00,平空-止盈,0.00254,3496503.496,9999.999999,1109.44,11.09,1218.78,12.18,-354.65,-3.54,1276.07,12.76
3,空头进场,2019-08-09 16:00,开空,0.00286,3496503.496,9999.999999,1109.44,11.09,1218.78,12.18,-354.65,-3.54,1276.07,12.76
4,空头出场,2019-09-17 20:00,平空-EMA,0.00248,3968253.968,9999.999999,148.81,1.49,748.97,7.49,-203.41,-2.03,1424.88,14.25
4,空头进场,2019-09-04 16:00,开空,0.00252,3968253.968,9999.999999,148.81,1.49,748.97,7.49,-203.41,-2.03,1424.88,14.25
5,多头出场,2019-09-23 08:00,平多,0.00251,3906249.999,9999.999997,-205.21,-2.05,971.56,9.71,-200.31,-2.00,1219.67,12.20
5,多头进场,2019-09-18 00:00,开多,0.00256,3906249.999,9999.999997,-205.21,-2.05,971.56,9.71,-200.31,-2.00,1219.67,12.20
6,空头出场,2019-09-25 00:00,平空-止盈,0.00203,4081632.653,10000,1705.14,17.04,2117.45,21.16,-86.63,-0.87,2924.81,29.25
6,空头进场,2019-09-24 08:00,开空,0.00245,4081632.653,10000,1705.14,17.04,2117.45,21.16,-86.63,-0.87,2924.81,29.25
7,空头出场,2019-10-07 20:00,平空-EMA,0.00233,4444444.444,9999.999999,-365.73,-3.66,83.89,0.84,-405,-4.05,2559.08,25.59
7,空头进场,2019-10-03 20:00,开空,0.00225,4444444.444,9999.999999,-365.73,-3.66,83.89,0.84,-405,-4.05,2559.08,25.59
