交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2025-01-16 00:00,平空-EMA,23.92,409.668,9999.99588,190.84,1.91,2448.91,24.48,-168.87,-1.69,190.84,1.91
1,空头进场,2025-01-07 20:00,开空,24.41,409.668,9999.99588,190.84,1.91,2448.91,24.48,-168.87,-1.69,190.84,1.91
2,空头出场,2025-01-21 20:00,平空-EMA,23.7,451.875,9999.99375,-719.8,-7.19,1291.88,12.91,-926.82,-9.26,-528.96,-5.29
2,空头进场,2025-01-18 08:00,开空,22.13,451.875,9999.99375,-719.8,-7.19,1291.88,12.91,-926.82,-9.26,-528.96,-5.29
3,多头出场,2025-01-23 08:00,平多,22.89,373.831,9999.97925,-1452.27,-14.52,99.67,1.00,-1747.05,-17.46,-1981.23,-19.81
3,多头进场,2025-01-22 12:00,开多,26.75,373.831,9999.97925,-1452.27,-14.52,99.67,1.00,-1747.05,-17.46,-1981.23,-19.81
4,空头出场,2025-01-28 04:00,平空-EMA,23.34,475.511,9999.99633,-1108.98,-11.08,403.94,4.04,-1227.06,-12.26,-3090.21,-30.90
4,空头进场,2025-01-27 08:00,开空,21.03,475.511,9999.99633,-1108.98,-11.08,403.94,4.04,-1227.06,-12.26,-3090.21,-30.90
5,多头出场,2025-02-02 04:00,平多,23.19,377.786,9999.99542,-1248.52,-12.48,761.91,7.62,-1346.14,-13.45,-4338.73,-43.39
5,多头进场,2025-01-30 08:00,开多,26.47,377.786,9999.99542,-1248.52,-12.48,761.91,7.62,-1346.14,-13.45,-4338.73,-43.39
6,多头出场,2025-02-06 20:00,平多,24.06,375.939,9999.9774,-964.41,-9.64,303.27,3.03,-1140.34,-11.40,-5303.13,-53.03
6,多头进场,2025-02-05 12:00,开多,26.6,375.939,9999.9774,-964.41,-9.64,303.27,3.03,-1140.34,-11.40,-5303.13,-53.03
7,多头出场,2025-02-18 16:00,平多,23.94,387.296,9999.98272,-737.75,-7.37,1013.59,10.13,-795.08,-7.95,-6040.89,-60.41
7,多头进场,2025-02-13 04:00,开多,25.82,387.296,9999.98272,-737.75,-7.37,1013.59,10.13,-795.08,-7.95,-6040.89,-60.41
8,空头出场,2025-02-25 08:00,平空-止盈,18.53,424.989,9999.99117,2116.01,21.15,2506.69,25.05,-192,-1.92,-3924.88,-39.25
8,空头进场,2025-02-23 20:00,开空,23.53,424.989,9999.99117,2116.01,21.15,2506.69,25.05,-192,-1.92,-3924.88,-39.25
9,多头出场,2025-03-26 08:00,平多,15.66,602.772,9999.98748,-570.3,-5.70,447.08,4.47,-619.83,-6.20,-4495.18,-44.95
9,多头进场,2025-03-24 08:00,开多,16.59,602.772,9999.98748,-570.3,-5.70,447.08,4.47,-619.83,-6.20,-4495.18,-44.95
10,空头出场,2025-04-07 00:00,平空-止盈,10.63,691.562,9999.98652,2640.01,26.39,2934.14,29.33,-475.26,-4.75,-1855.17,-18.55
10,空头进场,2025-03-26 20:00,开空,14.46,691.562,9999.98652,2640.01,26.39,2934.14,29.33,-475.26,-4.75,-1855.17,-18.55
11,多头出场,2025-06-19 00:00,平多,37.73,670.241,9999.99572,15270.55,152.63,20705.45,206.95,-185.97,-1.86,13415.39,134.15
11,多头进场,2025-04-11 08:00,开多,14.92,670.241,9999.99572,15270.55,152.63,20705.45,206.95,-185.97,-1.86,13415.39,134.15
12,空头出场,2025-06-24 00:00,平空-EMA,37.22,289.017,9999.9882,-767.6,-7.67,1058.58,10.58,-825.81,-8.25,12647.78,126.48
12,空头进场,2025-06-21 00:00,开空,34.6,289.017,9999.9882,-767.6,-7.67,1058.58,10.58,-825.81,-8.25,12647.78,126.48
13,多头出场,2025-07-02 00:00,平多,36.98,257.532,9999.96756,-486.2,-4.86,607.93,6.08,-484.01,-4.84,12161.59,121.62
13,多头进场,2025-06-29 16:00,开多,38.83,257.532,9999.96756,-486.2,-4.86,607.93,6.08,-484.01,-4.84,12161.59,121.62
