交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2019-02-09 00:00,平空-EMA,0.44,25641.025,9999.99975,-1292.69,-12.92,0,0.00,-1543.46,-15.43,-1292.69,-12.93
1,空头进场,2019-02-05 12:00,开空,0.39,25641.025,9999.99975,-1292.69,-12.92,0,0.00,-1543.46,-15.43,-1292.69,-12.93
2,多头出场,2019-02-11 08:00,平多,0.44,20833.333,9999.99984,-842.92,-8.42,0,0.00,-1046.67,-10.46,-2135.61,-21.36
2,多头进场,2019-02-09 20:00,开多,0.48,20833.333,9999.99984,-842.92,-8.42,0,0.00,-1046.67,-10.46,-2135.61,-21.36
3,空头出场,2019-02-14 04:00,平空-EMA,0.44,23809.523,9999.99966,-486.43,-4.86,0,0.00,-719.29,-7.19,-2622.04,-26.22
3,空头进场,2019-02-13 20:00,开空,0.42,23809.523,9999.99966,-486.43,-4.86,0,0.00,-719.29,-7.19,-2622.04,-26.22
4,多头出场,2019-02-21 20:00,平多,0.45,21739.13,9999.9998,-227.28,-2.27,429.78,4.30,-439.78,-4.40,-2849.32,-28.49
4,多头进场,2019-02-18 04:00,开多,0.46,21739.13,9999.9998,-227.28,-2.27,429.78,4.30,-439.78,-4.40,-2849.32,-28.49
5,空头出场,2019-02-25 20:00,平空-EMA,0.46,25000,10000,-1510.75,-15.10,0,0.00,-1505,-15.04,-4360.07,-43.60
5,空头进场,2019-02-24 20:00,开空,0.4,25000,10000,-1510.75,-15.10,0,0.00,-1505,-15.04,-4360.07,-43.60
6,多头出场,2019-02-26 12:00,平多,0.44,21276.595,9999.99965,-647.98,-6.48,0,0.00,-643.3,-6.43,-5008.05,-50.08
6,多头进场,2019-02-26 04:00,开多,0.47,21276.595,9999.99965,-647.98,-6.48,0,0.00,-643.3,-6.43,-5008.05,-50.08
7,空头出场,2019-03-07 08:00,平空-EMA,0.43,23809.523,9999.99966,-248.21,-2.48,709.29,7.09,-719.29,-7.19,-5256.26,-52.56
7,空头进场,2019-02-28 16:00,开空,0.42,23809.523,9999.99966,-248.21,-2.48,709.29,7.09,-719.29,-7.19,-5256.26,-52.56
8,多头出场,2019-03-21 20:00,平多,0.45,21276.595,9999.99965,-435.32,-4.35,1697.13,16.96,-856.06,-8.56,-5691.58,-56.92
8,多头进场,2019-03-08 00:00,开多,0.47,21276.595,9999.99965,-435.32,-4.35,1697.13,16.96,-856.06,-8.56,-5691.58,-56.92
9,空头出场,2019-03-26 04:00,平空-EMA,0.47,22222.222,9999.9999,-454.67,-4.54,217.22,2.17,-893.89,-8.93,-6146.25,-61.46
9,空头进场,2019-03-22 12:00,开空,0.45,22222.222,9999.9999,-454.67,-4.54,217.22,2.17,-893.89,-8.93,-6146.25,-61.46
10,多头出场,2019-04-09 12:00,平多,0.52,20408.163,9999.99987,601.94,6.02,2443.98,24.43,-209.08,-2.09,-5544.31,-55.44
10,多头进场,2019-03-28 00:00,开多,0.49,20408.163,9999.99987,601.94,6.02,2443.98,24.43,-209.08,-2.09,-5544.31,-55.44
11,空头出场,2019-04-13 20:00,平空-EMA,0.52,20408.163,9999.99987,-622.55,-6.22,811.33,8.11,-617.24,-6.17,-6166.86,-61.67
11,空头进场,2019-04-11 08:00,开空,0.49,20408.163,9999.99987,-622.55,-6.22,811.33,8.11,-617.24,-6.17,-6166.86,-61.67
12,空头出场,2019-04-18 12:00,平空-EMA,0.52,20408.163,9999.99987,-622.55,-6.22,199.08,1.99,-617.24,-6.17,-6789.41,-67.89
12,空头进场,2019-04-16 00:00,开空,0.49,20408.163,9999.99987,-622.55,-6.22,199.08,1.99,-617.24,-6.17,-6789.41,-67.89
13,空头出场,2019-05-03 12:00,平空-EMA,0.48,20000,10000,390.2,3.90,1595,15.94,-405,-4.05,-6399.21,-63.99
13,空头进场,2019-04-21 12:00,开空,0.5,20000,10000,390.2,3.90,1595,15.94,-405,-4.05,-6399.21,-63.99
14,多头出场,2019-05-31 04:00,平多,1,20000,10000,9985,99.80,19395,193.85,-405,-4.05,3585.79,35.86
14,多头进场,2019-05-04 00:00,开多,0.5,20000,10000,9985,99.80,19395,193.85,-405,-4.05,3585.79,35.86
15,空头出场,2019-06-05 16:00,平空-EMA,1,11111.111,9999.9999,-1121.67,-11.21,661.67,6.61,-1560.56,-15.60,2464.12,24.64
15,空头进场,2019-06-04 04:00,开空,0.9,11111.111,9999.9999,-1121.67,-11.21,661.67,6.61,-1560.56,-15.60,2464.12,24.64
16,多头出场,2019-07-11 16:00,平多,2.89,8849.557,9999.99941,15557.43,155.50,30525.97,305.11,-1066.95,-10.66,18021.56,180.22
16,多头进场,2019-06-06 12:00,开多,1.13,8849.557,9999.99941,15557.43,155.50,30525.97,305.11,-1066.95,-10.66,18021.56,180.22
17,多头出场,2019-07-14 20:00,平多,2.84,3039.513,9999.99777,-1377.1,-13.76,25.4,0.25,-1615.94,-16.15,16644.46,166.44
17,多头进场,2019-07-13 00:00,开多,3.29,3039.513,9999.99777,-1377.1,-13.76,25.4,0.25,-1615.94,-16.15,16644.46,166.44
18,空头出场,2019-07-29 16:00,平空-止盈,2.15,3745.318,9999.99906,1938.54,19.38,2317.1,23.16,-529.34,-5.29,18583,185.83
18,空头进场,2019-07-16 12:00,开空,2.67,3745.318,9999.99906,1938.54,19.38,2317.1,23.16,-529.34,-5.29,18583,185.83
19,多头出场,2019-08-06 16:00,平多,2.4,3773.584,9999.9976,-952.92,-9.52,183.68,1.84,-1023.87,-10.23,17630.07,176.30
