交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2020-11-03 12:00,平空-止盈,0.584,16920.473,9999.999543,108.5,1.08,265.73,2.66,-5,-0.05,108.5,1.09
1,空头进场,2020-11-03 08:00,开空,0.591,16920.473,9999.999543,108.5,1.08,265.73,2.66,-5,-0.05,108.5,1.09
2,多头出场,2020-11-13 00:00,平多,0.763,12531.328,9999.999744,-448.38,-4.48,2426.08,24.25,-481.19,-4.81,-339.87,-3.40
2,多头进场,2020-11-08 20:00,开多,0.798,12531.328,9999.999744,-448.38,-4.48,2426.08,24.25,-481.19,-4.81,-339.87,-3.40
3,多头出场,2020-11-19 00:00,平多,0.807,11682.242,9999.999152,-582.14,-5.82,1502.01,15.01,-682.57,-6.82,-922.02,-9.22
3,多头进场,2020-11-13 16:00,开多,0.856,11682.242,9999.999152,-582.14,-5.82,1502.01,15.01,-682.57,-6.82,-922.02,-9.22
4,多头出场,2020-11-26 16:00,平多,0.953,11037.527,9999.999462,508.5,5.08,4343.79,43.42,-104.34,-1.04,-413.51,-4.14
4,多头进场,2020-11-20 12:00,开多,0.906,11037.527,9999.999462,508.5,5.08,4343.79,43.42,-104.34,-1.04,-413.51,-4.14
5,多头出场,2020-12-07 04:00,平多,1.034,9242.144,9999.999808,-453.4,-4.53,1288.9,12.88,-901.49,-9.01,-866.91,-8.67
5,多头进场,2020-11-30 08:00,开多,1.082,9242.144,9999.999808,-453.4,-4.53,1288.9,12.88,-901.49,-9.01,-866.91,-8.67
6,空头出场,2020-12-15 00:00,平空-EMA,0.999,10515.247,9999.999897,-514.98,-5.15,878.28,8.78,-1014.46,-10.14,-1381.9,-13.82
6,空头进场,2020-12-08 16:00,开空,0.951,10515.247,9999.999897,-514.98,-5.15,878.28,8.78,-1014.46,-10.14,-1381.9,-13.82
7,多头出场,2020-12-18 04:00,平多,0.993,9551.098,9999.999606,-525.5,-5.25,205.12,2.05,-587.62,-5.87,-1907.4,-19.07
7,多头进场,2020-12-17 04:00,开多,1.047,9551.098,9999.999606,-525.5,-5.25,205.12,2.05,-587.62,-5.87,-1907.4,-19.07
8,多头出场,2020-12-23 16:00,平多,1.019,9442.87,9999.99933,-387.53,-3.87,5698.49,56.96,-543.24,-5.43,-2294.93,-22.95
8,多头进场,2020-12-19 12:00,开多,1.059,9442.87,9999.99933,-387.53,-3.87,5698.49,56.96,-543.24,-5.43,-2294.93,-22.95
9,多头出场,2021-01-12 00:00,平多,1.394,8733.624,9999.99948,2163.59,21.63,7034.3,70.31,-389.28,-3.89,-131.34,-1.31
9,多头进场,2020-12-28 00:00,开多,1.145,8733.624,9999.99948,2163.59,21.63,7034.3,70.31,-389.28,-3.89,-131.34,-1.31
10,多头出场,2021-01-27 16:00,平多,2.071,6261.74,9999.99878,2956.58,29.55,7377.59,73.74,-1282.39,-12.82,2825.24,28.25
10,多头进场,2021-01-12 12:00,开多,1.597,6261.74,9999.99878,2956.58,29.55,7377.59,73.74,-1282.39,-12.82,2825.24,28.25
11,多头出场,2021-02-01 00:00,平多,2.09,4266.211,9999.998584,-1093.08,-10.93,336.3,3.36,-1255,-12.54,1732.16,17.32
11,多头进场,2021-01-31 08:00,开多,2.344,4266.211,9999.998584,-1093.08,-10.93,336.3,3.36,-1255,-12.54,1732.16,17.32
12,多头出场,2021-02-22 16:00,平多,3.649,4299.226,9999.999676,5675.03,56.72,14040.57,140.34,-176.97,-1.77,7407.2,74.07
12,多头进场,2021-02-02 08:00,开多,2.326,4299.226,9999.999676,5675.03,56.72,14040.57,140.34,-176.97,-1.77,7407.2,74.07
13,空头出场,2021-02-25 12:00,平空-EMA,3.657,3473.428,9999.999212,-2713.68,-27.12,373.6,3.73,-2974.78,-29.73,4693.52,46.94
13,空头进场,2021-02-23 16:00,开空,2.879,3473.428,9999.999212,-2713.68,-27.12,373.6,3.73,-2974.78,-29.73,4693.52,46.94
14,多头出场,2021-02-28 08:00,平多,3.532,2285.714,9999.99875,-1935.89,-19.35,1172.14,11.72,-1970.71,-19.70,2757.62,27.58
14,多头进场,2021-02-25 20:00,开多,4.375,2285.714,9999.99875,-1935.89,-19.35,1172.14,11.72,-1970.71,-19.70,2757.62,27.58
15,多头出场,2021-03-23 00:00,平多,5.546,2357.378,9999.997476,3062.48,30.61,7863.93,78.60,-938.52,-9.38,5820.11,58.20
15,多头进场,2021-03-01 20:00,开多,4.242,2357.378,9999.997476,3062.48,30.61,7863.93,78.60,-938.52,-9.38,5820.11,58.20
16,空头出场,2021-03-27 04:00,平空-EMA,5.481,1941.747,9999.99705,-653.04,-6.53,1328.98,13.28,-841.89,-8.41,5167.07,51.67
16,空头进场,2021-03-25 00:00,开空,5.15,1941.747,9999.99705,-653.04,-6.53,1328.98,13.28,-841.89,-8.41,5167.07,51.67
17,多头出场,2021-04-04 04:00,平多,5.686,1643.115,9999.99789,-666.92,-6.67,1002.23,10.02,-882.42,-8.82,4500.15,45.00
17,多头进场,2021-03-30 12:00,开多,6.086,1643.115,9999.99789,-666.92,-6.67,1002.23,10.02,-882.42,-8.82,4500.15,45.00
18,多头出场,2021-04-16 16:00,平多,6.202,1628.664,9999.99696,90.93,0.91,2100.86,21.00,-726.5,-7.26,4591.08,45.91
18,多头进场,2021-04-05 16:00,开多,6.14,1628.664,9999.99696,90.93,0.91,2100.86,21.00,-726.5,-7.26,4591.08,45.91
19,空头出场,2021-04-30 00:00,平空-EMA,5.471,1717.622,9999.995284,593.19,5.93,3110.77,31.09,-451.58,-4.51,5184.26,51.84
19,空头进场,2021-04-17 20:00,开空,5.822,1717.622,9999.995284,593.19,5.93,3110.77,31.09,-451.58,-4.51,5184.26,51.84
20,空头出场,2021-05-06 20:00,平空-EMA,5.533,2058.036,9999.996924,-1397.81,-13.97,190.51,1.90,-1501.19,-15.00,3786.45,37.86
20,空头进场,2021-05-04 20:00,开空,4.859,2058.036,9999.996924,-1397.81,-13.97,190.51,1.90,-1501.19,-15.00,3786.45,37.86
21,空头出场,2021-05-12 16:00,平空-EMA,5.396,2139.037,9999.997975,-1553.02,-15.52,668.8,6.68,-1765.43,-17.65,2233.44,22.33
21,空头进场,2021-05-11 00:00,开空,4.675,2139.037,9999.997975,-1553.02,-15.52,668.8,6.68,-1765.43,-17.65,2233.44,22.33
22,空头出场,2021-05-13 12:00,平空-EMA,5.27,2108.814,9999.995988,-1124.01,-11.23,484.24,4.84,-1491.71,-14.91,1109.43,11.09
22,空头进场,2021-05-13 04:00,开空,4.742,2108.814,9999.995988,-1124.01,-11.23,484.24,4.84,-1491.71,-14.91,1109.43,11.09
23,多头出场,2021-05-17 08:00,平多,5.2,1728.907,9999.998088,-1019.18,-10.19,2676.53,26.75,-1070.01,-10.69,90.25,0.90
23,多头进场,2021-05-14 08:00,开多,5.784,1728.907,9999.998088,-1019.18,-10.19,2676.53,26.75,-1070.01,-10.69,90.25,0.90
24,空头出场,2021-05-23 16:00,平空-止盈,2.671,2395.783,9999.998242,3592.66,35.91,3785.13,37.83,-1025.6,-10.25,3682.91,36.83
24,空头进场,2021-05-19 20:00,开空,4.174,2395.783,9999.998242,3592.66,35.91,3785.13,37.83,-1025.6,-10.25,3682.91,36.83
25,空头出场,2021-06-18 16:00,平空-EMA,3.26,3256.268,9999.999028,-625.74,-6.25,288.06,2.88,-887.45,-8.87,3057.17,30.57
25,空头进场,2021-06-16 16:00,开空,3.071,3256.268,9999.999028,-625.74,-6.25,288.06,2.88,-887.45,-8.87,3057.17,30.57
26,空头出场,2021-06-22 04:00,平空-止盈,2.244,3486.75,9999.999,2166.82,21.66,2184.68,21.84,-405.98,-4.06,5223.99,52.24
26,空头进场,2021-06-19 00:00,开空,2.868,3486.75,9999.999,2166.82,21.66,2184.68,21.84,-405.98,-4.06,5223.99,52.24
27,空头出场,2021-07-14 08:00,平空-止盈,1.882,4551.661,9999.999217,1424.49,14.24,1519.81,15.19,-237.13,-2.37,6648.48,66.48
27,空头进场,2021-07-08 08:00,开空,2.197,4551.661,9999.999217,1424.49,14.24,1519.81,15.19,-237.13,-2.37,6648.48,66.48
28,多头出场,2021-09-21 00:00,平多,7.794,4683.84,9999.9984,26482.6,264.69,45639.02,456.16,-449.96,-4.50,33131.08,331.31
