交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2023-05-24 08:00,平空-止盈,1.0248,9287.638,9999.999835,472.27,4.72,627.49,6.27,-72.8,-0.73,472.27,4.72
1,空头进场,2023-05-23 16:00,开空,1.0767,9287.638,9999.999835,472.27,4.72,627.49,6.27,-72.8,-0.73,472.27,4.72
2,多头出场,2023-06-24 12:00,平多,0.7676,11614.401,9999.999261,-1094.24,-10.94,176.18,1.76,-1270.97,-12.70,-621.97,-6.22
2,多头进场,2023-06-22 08:00,开多,0.861,11614.401,9999.999261,-1094.24,-10.94,176.18,1.76,-1270.97,-12.70,-621.97,-6.22
3,空头出场,2023-07-14 00:00,平空-EMA,0.6929,13689.253,9999.999317,504.97,5.05,1410.47,14.10,-415.68,-4.15,-117,-1.17
3,空头进场,2023-06-26 08:00,开空,0.7305,13689.253,9999.999317,504.97,5.05,1410.47,14.10,-415.68,-4.15,-117,-1.17
4,多头出场,2023-07-15 00:00,平多,0.6644,13860.013,9999.99938,-801.01,-8.01,575.73,5.75,-885.11,-8.85,-918.01,-9.18
4,多头进场,2023-07-14 16:00,开多,0.7215,13860.013,9999.99938,-801.01,-8.01,575.73,5.75,-885.11,-8.85,-918.01,-9.18
5,多头出场,2023-07-20 20:00,平多,0.6884,13156.163,9999.999496,-952.83,-9.52,204.18,2.04,-1016.71,-10.16,-1870.84,-18.71
5,多头进场,2023-07-18 08:00,开多,0.7601,13156.163,9999.999496,-952.83,-9.52,204.18,2.04,-1016.71,-10.16,-1870.84,-18.71
6,空头出场,2023-07-31 00:00,平空-止盈,0.6181,15069.318,9999.999425,676,6.76,817.78,8.17,-95.42,-0.95,-1194.84,-11.95
6,空头进场,2023-07-24 08:00,开空,0.6636,15069.318,9999.999425,676,6.76,817.78,8.17,-95.42,-0.95,-1194.84,-11.95
7,多头出场,2023-08-25 00:00,平多,0.5676,16463.615,9999.999751,-664.92,-6.65,213.97,2.14,-760.68,-7.60,-1859.76,-18.60
