交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2019-04-30 12:00,平空-止盈,0.09,108695.652,9999.999984,207.5,2.07,321.09,3.21,-5,-0.05,207.5,2.08
1,空头进场,2019-04-30 08:00,开空,0.092,108695.652,9999.999984,207.5,2.07,321.09,3.21,-5,-0.05,207.5,2.08
2,多头出场,2019-05-23 12:00,平多,0.102,94339.622,9999.999932,-387.17,-3.87,1787.45,17.87,-1042.74,-10.42,-179.67,-1.80
2,多头进场,2019-05-15 08:00,开多,0.106,94339.622,9999.999932,-387.17,-3.87,1787.45,17.87,-1042.74,-10.42,-179.67,-1.80
3,多头出场,2019-06-04 08:00,平多,0.125,72992.7,9999.9999,-885.47,-8.85,2038.8,20.38,-1464.85,-14.64,-1065.14,-10.65
3,多头进场,2019-05-24 08:00,开多,0.137,72992.7,9999.9999,-885.47,-8.85,2038.8,20.38,-1464.85,-14.64,-1065.14,-10.65
4,多头出场,2019-06-14 16:00,平多,0.129,73529.411,9999.999896,-524.45,-5.24,803.82,8.03,-960.88,-9.60,-1589.59,-15.90
4,多头进场,2019-06-06 08:00,开多,0.136,73529.411,9999.999896,-524.45,-5.24,803.82,8.03,-960.88,-9.60,-1589.59,-15.90
5,空头出场,2019-06-20 08:00,平空-EMA,0.131,80645.161,9999.999964,-574.8,-5.75,75.65,0.76,-569.52,-5.69,-2164.39,-21.64
5,空头进场,2019-06-18 12:00,开空,0.124,80645.161,9999.999964,-574.8,-5.75,75.65,0.76,-569.52,-5.69,-2164.39,-21.64
6,空头出场,2019-06-22 20:00,平空-EMA,0.13,80000,10000,-410.2,-4.10,155,1.55,-725,-7.25,-2574.59,-25.75
6,空头进场,2019-06-21 16:00,开空,0.125,80000,10000,-410.2,-4.10,155,1.55,-725,-7.25,-2574.59,-25.75
7,多头出场,2019-06-27 00:00,平多,0.126,73529.411,9999.999896,-744.93,-7.45,583.24,5.83,-740.29,-7.40,-3319.52,-33.20
