交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2020-10-07 08:00,平空-止盈,2.601,3684.598,9999.998972,406.57,4.06,864.57,8.64,-5,-0.05,406.57,4.07
1,空头进场,2020-10-07 04:00,开空,2.714,3684.598,9999.998972,406.57,4.06,864.57,8.64,-5,-0.05,406.57,4.07
2,多头出场,2020-11-08 00:00,平多,2.501,3438.789,9999.998412,-1408.89,-14.08,197.89,1.98,-1617.79,-16.17,-1002.32,-10.02
2,多头进场,2020-11-07 16:00,开多,2.908,3438.789,9999.998412,-1408.89,-14.08,197.89,1.98,-1617.79,-16.17,-1002.32,-10.02
3,多头出场,2020-11-26 08:00,平多,3.382,3291.639,9999.999282,1121.76,11.21,4761.29,47.59,-679.79,-6.79,119.44,1.19
3,多头进场,2020-11-11 00:00,开多,3.038,3291.639,9999.999282,1121.76,11.21,4761.29,47.59,-679.79,-6.79,119.44,1.19
4,多头出场,2020-12-05 04:00,平多,3.516,2677.376,9999.99936,-596.05,-5.96,1159.66,11.59,-1370.46,-13.70,-476.61,-4.77
4,多头进场,2020-12-01 00:00,开多,3.735,2677.376,9999.99936,-596.05,-5.96,1159.66,11.59,-1370.46,-13.70,-476.61,-4.77
5,空头出场,2020-12-15 04:00,平空-EMA,3.48,3032.14,9999.99772,-562.13,-5.62,1171.47,11.71,-753.94,-7.54,-1038.74,-10.39
5,空头进场,2020-12-09 04:00,开空,3.298,3032.14,9999.99772,-562.13,-5.62,1171.47,11.71,-753.94,-7.54,-1038.74,-10.39
6,多头出场,2020-12-21 16:00,平多,3.503,2644.802,9999.996362,-744.89,-7.45,1216.9,12.16,-861.92,-8.61,-1783.63,-17.84
6,多头进场,2020-12-17 12:00,开多,3.781,2644.802,9999.996362,-744.89,-7.45,1216.9,12.16,-861.92,-8.61,-1783.63,-17.84
7,空头出场,2020-12-25 16:00,平空-EMA,3.604,3095.975,9999.99925,-1168.47,-11.68,199.33,1.99,-1311.5,-13.11,-2952.1,-29.52
7,空头进场,2020-12-24 08:00,开空,3.23,3095.975,9999.99925,-1168.47,-11.68,199.33,1.99,-1311.5,-13.11,-2952.1,-29.52
8,多头出场,2020-12-29 20:00,平多,3.546,2602.133,9999.997119,-782.45,-7.82,403.53,4.03,-868.91,-8.68,-3734.55,-37.35
8,多头进场,2020-12-28 12:00,开多,3.843,2602.133,9999.997119,-782.45,-7.82,403.53,4.03,-868.91,-8.68,-3734.55,-37.35
9,多头出场,2021-01-11 20:00,平多,4.862,2551.671,9999.998649,2395.02,23.94,7448.43,74.45,-124.93,-1.25,-1339.52,-13.40
9,多头进场,2020-12-30 20:00,开多,3.919,2551.671,9999.998649,2395.02,23.94,7448.43,74.45,-124.93,-1.25,-1339.52,-13.40
10,多头出场,2021-02-23 16:00,平多,20.9,1694.34,9999.99468,25389.01,253.76,45906.53,458.84,-15.17,-0.15,24049.48,240.49
10,多头进场,2021-01-13 20:00,开多,5.902,1694.34,9999.99468,25389.01,253.76,45906.53,458.84,-15.17,-0.15,24049.48,240.49
11,多头出场,2021-02-26 12:00,平多,21.8,374.307,9999.985812,-1849.17,-18.48,197.13,1.97,-2140.8,-21.40,22200.31,222.00
11,多头进场,2021-02-24 08:00,开多,26.716,374.307,9999.985812,-1849.17,-18.48,197.13,1.97,-2140.8,-21.40,22200.31,222.00
12,多头出场,2021-03-16 08:00,平多,28.599,389.014,9999.993884,1114.85,11.14,3582.49,35.81,-468.32,-4.68,23315.16,233.15
12,多头进场,2021-03-02 04:00,开多,25.706,389.014,9999.993884,1114.85,11.14,3582.49,35.81,-468.32,-4.68,23315.16,233.15
13,多头出场,2021-03-24 08:00,平多,30.404,326.946,9999.970356,-69.47,-0.69,2026.64,20.26,-386.55,-3.86,23245.69,232.46
13,多头进场,2021-03-17 08:00,开多,30.586,326.946,9999.970356,-69.47,-0.69,2026.64,20.26,-386.55,-3.86,23245.69,232.46
14,空头出场,2021-04-01 12:00,平空-EMA,29.501,367.322,9999.974128,-846.81,-8.46,604.02,6.04,-950.12,-9.50,22398.88,223.99
14,空头进场,2021-03-25 04:00,开空,27.224,367.322,9999.974128,-846.81,-8.46,604.02,6.04,-950.12,-9.50,22398.88,223.99
15,多头出场,2021-04-04 04:00,平多,29.387,320.79,9999.98667,-582.64,-5.82,420.69,4.20,-596.54,-5.96,21816.23,218.16
15,多头进场,2021-04-03 08:00,开多,31.173,320.79,9999.98667,-582.64,-5.82,420.69,4.20,-596.54,-5.96,21816.23,218.16
16,多头出场,2021-04-18 08:00,平多,29.88,317.823,9999.982872,-513.18,-5.13,2580.81,25.80,-1430.44,-14.30,21303.05,213.03
16,多头进场,2021-04-12 12:00,开多,31.464,317.823,9999.982872,-513.18,-5.13,2580.81,25.80,-1430.44,-14.30,21303.05,213.03
17,空头出场,2021-04-21 20:00,平空-EMA,35.542,346.476,9999.990312,-2325.62,-23.24,293.66,2.94,-2391.53,-23.90,18977.44,189.77
17,空头进场,2021-04-18 16:00,开空,28.862,346.476,9999.990312,-2325.62,-23.24,293.66,2.94,-2391.53,-23.90,18977.44,189.77
18,多头出场,2021-04-23 12:00,平多,31.301,277.746,9999.966984,-1315.59,-13.15,676.59,6.76,-1806.18,-18.05,17661.85,176.62
18,多头进场,2021-04-22 08:00,开多,36.004,277.746,9999.966984,-1315.59,-13.15,676.59,6.76,-1806.18,-18.05,17661.85,176.62
19,多头出场,2021-05-11 00:00,平多,36.404,278.644,9999.975872,133.71,1.34,2534,25.33,-375.04,-3.75,17795.56,177.96
19,多头进场,2021-04-26 16:00,开多,35.888,278.644,9999.975872,133.71,1.34,2534,25.33,-375.04,-3.75,17795.56,177.96
20,空头出场,2021-05-12 08:00,平空-EMA,41.645,279.08,9999.99456,-1633.1,-16.32,55.56,0.56,-1693.15,-16.92,16162.46,161.62
20,空头进场,2021-05-11 08:00,开空,35.832,279.08,9999.99456,-1633.1,-16.32,55.56,0.56,-1693.15,-16.92,16162.46,161.62
21,多头出场,2021-05-13 04:00,平多,36.87,233.388,9999.975636,-1404.26,-14.04,110.99,1.11,-1669.76,-16.69,14758.19,147.58
21,多头进场,2021-05-12 12:00,开多,42.847,233.388,9999.975636,-1404.26,-14.04,110.99,1.11,-1669.76,-16.69,14758.19,147.58
22,空头出场,2021-05-23 00:00,平空-止盈,20.051,281.864,9999.970992,4340.49,43.38,5485.15,54.82,-329.71,-3.30,19098.68,190.99
22,空头进场,2021-05-17 00:00,开空,35.478,281.864,9999.970992,4340.49,43.38,5485.15,54.82,-329.71,-3.30,19098.68,190.99
23,空头出场,2021-06-12 08:00,平空-止盈,20.775,385.074,9999.986706,1991.07,19.90,2114.45,21.13,-725.47,-7.25,21089.76,210.90
