交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2018-05-24 16:00,平空-止盈,0.602,16553,9999.6673,24.78,0.25,456.83,4.57,-152.32,-1.52,24.78,0.25
1,空头进场,2018-05-24 12:00,开空,0.6041,16553,9999.6673,24.78,0.25,456.83,4.57,-152.32,-1.52,24.78,0.25
2,多头出场,2018-06-04 16:00,平多,0.6431,14490,9999.549,-690.69,-6.90,239.88,2.40,-728.05,-7.28,-665.91,-6.66
2,多头进场,2018-06-04 04:00,开多,0.6901,14490,9999.549,-690.69,-6.90,239.88,2.40,-728.05,-7.28,-665.91,-6.66
3,空头出场,2018-06-13 16:00,平空-止盈,0.536,15785,9999.7975,1529.81,15.29,1786.6,17.86,-82.35,-0.82,863.9,8.64
3,空头进场,2018-06-10 08:00,开空,0.6335,15785,9999.7975,1529.81,15.29,1786.6,17.86,-82.35,-0.82,863.9,8.64
4,空头出场,2018-07-05 00:00,平空-EMA,0.5055,20742,9999.7182,-495.61,-4.95,51,0.51,-542.22,-5.42,368.29,3.68
4,空头进场,2018-07-04 08:00,开空,0.4821,20742,9999.7182,-495.61,-4.95,51,0.51,-542.22,-5.42,368.29,3.68
5,空头出场,2018-07-12 12:00,平空-止盈,0.4336,21057,9999.9693,860.09,8.60,915.19,9.15,-280.85,-2.81,1228.38,12.28
5,空头进场,2018-07-06 00:00,开空,0.4749,21057,9999.9693,860.09,8.60,915.19,9.15,-280.85,-2.81,1228.38,12.28
6,多头出场,2018-07-20 08:00,平多,0.4691,19801,9999.505,-720.5,-7.20,396.96,3.97,-836.64,-8.36,507.88,5.08
6,多头进场,2018-07-18 00:00,开多,0.505,19801,9999.505,-720.5,-7.20,396.96,3.97,-836.64,-8.36,507.88,5.08
7,空头出场,2018-08-08 00:00,平空-止盈,0.401,22862,9999.8388,822.59,8.22,838.61,8.38,-784.59,-7.84,1330.47,13.30
7,空头进场,2018-07-21 00:00,开空,0.4374,22862,9999.8388,822.59,8.22,838.61,8.38,-784.59,-7.84,1330.47,13.30
8,空头出场,2018-08-28 04:00,平空-EMA,0.339,30969,9999.8901,-508.85,-5.09,382.11,3.82,-999.1,-9.99,821.62,8.22
8,空头进场,2018-08-18 20:00,开空,0.3229,30969,9999.8901,-508.85,-5.09,382.11,3.82,-999.1,-9.99,821.62,8.22
9,多头出场,2018-08-30 12:00,平多,0.3362,28636,9999.6912,-382.08,-3.82,249.86,2.50,-451.72,-4.52,439.54,4.40
9,多头进场,2018-08-28 16:00,开多,0.3492,28636,9999.6912,-382.08,-3.82,249.86,2.50,-451.72,-4.52,439.54,4.40
10,空头出场,2018-09-01 08:00,平空-EMA,0.341,30740,9999.722,-492.86,-4.93,81.07,0.81,-733.54,-7.33,-53.32,-0.53
10,空头进场,2018-08-30 16:00,开空,0.3253,30740,9999.722,-492.86,-4.93,81.07,0.81,-733.54,-7.33,-53.32,-0.53
11,多头出场,2018-09-02 16:00,平多,0.3381,28417,9999.9423,-401.96,-4.02,46.15,0.46,-422.73,-4.23,-455.28,-4.55
11,多头进场,2018-09-02 00:00,开多,0.3519,28417,9999.9423,-401.96,-4.02,46.15,0.46,-422.73,-4.23,-455.28,-4.55
12,空头出场,2018-09-06 00:00,平空-止盈,0.2882,33046,9999.7196,466.1,4.66,655.92,6.56,-199.97,-2.00,10.83,0.11
12,空头进场,2018-09-05 16:00,开空,0.3026,33046,9999.7196,466.1,4.66,655.92,6.56,-199.97,-2.00,10.83,0.11
13,多头出场,2018-10-07 00:00,平多,0.4705,32061,9999.8259,5072.33,50.70,15643.98,156.36,-309.58,-3.09,5083.16,50.83
13,多头进场,2018-09-18 16:00,开多,0.3119,32061,9999.8259,5072.33,50.70,15643.98,156.36,-309.58,-3.09,5083.16,50.83
14,空头出场,2018-10-11 16:00,平空-止盈,0.4044,21404,9999.9488,1334.84,13.34,1433.35,14.33,-107.74,-1.08,6418,64.18
14,空头进场,2018-10-10 20:00,开空,0.4672,21404,9999.9488,1334.84,13.34,1433.35,14.33,-107.74,-1.08,6418,64.18
15,多头出场,2018-10-19 08:00,平多,0.4654,20408,9999.92,-511.79,-5.12,35.82,0.36,-698.87,-6.99,5906.22,59.06
15,多头进场,2018-10-18 08:00,开多,0.49,20408,9999.92,-511.79,-5.12,35.82,0.36,-698.87,-6.99,5906.22,59.06
16,空头出场,2018-10-24 04:00,平空-EMA,0.4701,22301,9999.7684,-494.17,-4.94,41.83,0.42,-854.67,-8.54,5412.04,54.12
16,空头进场,2018-10-23 16:00,开空,0.4484,22301,9999.7684,-494.17,-4.94,41.83,0.42,-854.67,-8.54,5412.04,54.12
17,空头出场,2018-11-02 04:00,平空-EMA,0.4614,21978,9999.99,-150.73,-1.51,449.94,4.50,-158.85,-1.59,5261.31,52.61
17,空头进场,2018-10-29 16:00,开空,0.455,21978,9999.99,-150.73,-1.51,449.94,4.50,-158.85,-1.59,5261.31,52.61
18,多头出场,2018-11-14 20:00,平多,0.4738,21168,9999.7632,19.62,0.20,2035.6,20.35,-246.32,-2.46,5280.93,52.81
18,多头进场,2018-11-05 00:00,开多,0.4724,21168,9999.7632,19.62,0.20,2035.6,20.35,-246.32,-2.46,5280.93,52.81
19,空头出场,2018-11-18 00:00,平空-EMA,0.5042,21519,9999.8793,-860.43,-8.60,718.04,7.18,-855,-8.55,4420.51,44.21
19,空头进场,2018-11-15 00:00,开空,0.4647,21519,9999.8793,-860.43,-8.60,718.04,7.18,-855,-8.55,4420.51,44.21
20,多头出场,2018-11-19 12:00,平多,0.4859,19409,9999.5168,-578.4,-5.78,282.25,2.82,-882.29,-8.82,3842.11,38.42
20,多头进场,2018-11-18 16:00,开多,0.5152,19409,9999.5168,-578.4,-5.78,282.25,2.82,-882.29,-8.82,3842.11,38.42
21,空头出场,2018-11-25 08:00,平空-止盈,0.3388,22026,9999.804,2528.66,25.27,2627.11,26.26,-681.2,-6.81,6370.77,63.71
21,空头进场,2018-11-20 12:00,开空,0.454,22026,9999.804,2528.66,25.27,2627.11,26.26,-681.2,-6.81,6370.77,63.71
22,多头出场,2018-12-28 00:00,平多,0.3408,28587,9999.7326,-267.15,-2.67,2859.42,28.58,-330.89,-3.31,6103.62,61.04
22,多头进场,2018-12-19 04:00,开多,0.3498,28587,9999.7326,-267.15,-2.67,2859.42,28.58,-330.89,-3.31,6103.62,61.04
23,多头出场,2018-12-31 16:00,平多,0.3501,26511,9999.9492,-728.09,-7.28,42.72,0.43,-816.24,-8.16,5375.53,53.76
23,多头进场,2018-12-29 12:00,开多,0.3772,26511,9999.9492,-728.09,-7.28,42.72,0.43,-816.24,-8.16,5375.53,53.76
24,多头出场,2019-01-04 00:00,平多,0.3504,27070,9999.658,-524.07,-5.24,133.06,1.33,-589.71,-5.89,4851.46,48.51
24,多头进场,2019-01-03 00:00,开多,0.3694,27070,9999.658,-524.07,-5.24,133.06,1.33,-589.71,-5.89,4851.46,48.51
